STREET,CITY,ZIP CODE,ZIP+4,ADDRESS,LATS,LONGS,NAME,FILING_REQ_CD,EIN,ASSET_CD,TAX_PERIOD,NTEE_CD,PF_FILING_REQ_CD,REVENUE_AMT,SUBSECTION,ACTIVITY,ORGANIZATION,STATUS,FOUNDATION,ICO,CLASSIFICATION,INCOME_AMT,STATE,ACCT_PD,ASSET_AMT,SORT_NAME,AFFILIATION,DEDUCTIBILITY,RULING_YEAR,RULING_MONTH,INCOME_CD
3222 S 54TH AVE,SHELBY,49455,9718,"3222 S 54TH AVE, SHELBY , MI, 49455",43.5866732,-86.4233665,LAMP MINISTRIES INC,2,383880358,0,201312,P20,0,0,3,0,1,1,15,% RICHARD LANTZ,1000,0,MI,12,0,,3,1,2012,10,0
946 N ADVANCE RD,BOYNE CITY,49712,9680,"946 N ADVANCE RD, BOYNE CITY , MI, 49712",45.2122322,-85.0853139,ADVANCE BOARD OF COMMERCE,2,386095251,0,201312,P20,0,0,3,403000000,1,1,16,% ROBERT G PREBBLE,1000,0,MI,12,0,,3,1,2014,9,0
PO BOX 2673,MIDLAND,48641,2673,"PO BOX 2673, MIDLAND , MI, 48641",43.6233448,-84.2269647,SHEPHERDS CARE MINISTRIES INC,2,412208969,0,201312,P20,0,0,3,0,1,1,15,% LOIS SHULL,1000,0,MI,12,0,,3,1,2007,6,0
28 MCKINLEY PL,GROSSE POINTE,48236,3716,"28 MCKINLEY PL, GROSSE POINTE , MI, 48236",42.388348,-82.899983,HAITI AND AFRICA RELIEF TEAM INC,2,450924434,0,201311,P20,0,0,3,0,1,1,15,% SAMA F MUMA,1000,0,MI,11,0,,3,1,2012,1,0
18321 OAK DR,DETROIT,48221,3721,"18321 OAK DR, DETROIT , MI, 48221",42.426141,-83.138704,HIDDEN TREASURES RESOURCE AND DEVELOPMENT CENTER,2,451106521,0,201312,P20,0,0,3,0,1,1,15,% EUGENIA BALLARD,1000,0,MI,12,0,,3,1,2012,3,0
108 BIRCHWOOD AVE,HOLLAND,49423,6657,"108 BIRCHWOOD AVE, HOLLAND , MI, 49423",42.793652,-86.062548,ELLA FOUNDATION INC,2,451627420,0,201212,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2012,5,0
15988 FOCH ST,LIVONIA,48154,3463,"15988 FOCH ST, LIVONIA , MI, 48154",42.405615,-83.31808,STEPPING UP FOR MS,2,451660917,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2011,6,0
768 W HOWELL RD,MASON,48854,9638,"768 W HOWELL RD, MASON , MI, 48854",42.599988,-84.375032,RAYNER PARK FUN,2,451734634,0,201303,P20,0,0,3,0,5,1,16,% DIANN JACKMAN,1000,0,MI,3,0,,3,1,2012,12,0
33105 KELLY RD STE A,FRASER,48026,4212,"33105 KELLY RD STE A, FRASER , MI, 48026",42.540269,-82.93091,LIFT MY HOPES FOUNDATION INC,2,452049634,0,201112,P20,0,0,3,0,1,1,15,% LIFT MY HOPES FOUNDATION INC,1000,0,MI,12,0,,3,1,2011,12,0
10422 PENINSULA DR,TRAVERSE CITY,49686,8399,"10422 PENINSULA DR, TRAVERSE CITY , MI, 49686",44.8421469,-85.558555,BOARDMAN RIVER CLEAN SWEEP,2,452116716,0,201212,P20,0,0,3,0,1,1,15,% NORMAN R FRED,1000,0,MI,12,0,,3,1,2011,6,0
12301 E MCNICHOLS RD,DETROIT,48205,3327,"12301 E MCNICHOLS RD, DETROIT , MI, 48205",42.422069,-82.998745,THE BLACKWOOD ORGANIZATION INC,2,452485704,0,201212,P20,0,0,3,0,1,1,15,% EBONY COCHRAN,1000,0,MI,12,0,,3,1,2012,6,0
289 FRONT AVE SW,GRAND RAPIDS,49504,6427,"289 FRONT AVE SW, GRAND RAPIDS , MI, 49504",42.957935,-85.682763,FASHION HAS HEART,2,452609530,0,201312,P20,0,0,3,0,1,1,15,% MICHAEL HYACINTHE,1000,0,MI,12,0,,3,1,2012,9,0
3636 HESS AVE APT D,SAGINAW,48601,4030,"3636 HESS AVE APT D, SAGINAW , MI, 48601",43.4003618,-83.9164634,WOMEN PURSUING EXCELLENCE INC,2,452759942,0,201212,P20,0,0,3,0,1,1,15,% RHONDA L BURTON,1000,0,MI,12,0,,3,1,2012,5,0
PO BOX 602,PORTAGE,49081,602,"PO BOX 602, PORTAGE , MI, 49081",42.2299999,-85.63,2TIM2TWO INC,2,452907529,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2013,1,0
1953 MILITARY ST,DETROIT,48209,1634,"1953 MILITARY ST, DETROIT , MI, 48209",42.3163989,-83.107818,HOPEWORKS INC,2,453721052,0,201312,P20,0,0,3,0,1,1,15,% MOHAN KARULKAR,1000,0,MI,12,0,HOPEWORKS,3,1,2013,8,0
9500 ISLAND LAKE RD,DEXTER,48130,9494,"9500 ISLAND LAKE RD, DEXTER , MI, 48130",42.347352,-83.918021,HUDSON EDUCATION CENTER,2,453753949,0,201306,P20,0,0,3,0,1,1,16,% NORMA HELLER,1000,0,MI,6,0,,3,1,2014,2,0
1103 N MAPLE AVE,ROYAL OAK,48067,4311,"1103 N MAPLE AVE, ROYAL OAK , MI, 48067",42.498771,-83.153199,WITHIN REACH CHARITABLE FOUNDATION,2,453845344,0,201311,P20,0,0,3,0,1,1,15,% CHRISTINE UTTER,1000,0,MI,11,0,,3,1,2012,5,0
28580 ORCHARD LAKE RD STE 150,FARMINGTN HLS,48334,2975,"28580 ORCHARD LAKE RD STE 150, FARMINGTN HLS , MI, 48334",42.507499,-83.358187,STEPHENS SOLDIERS FOUNDATION,2,453982374,0,201312,P20,0,0,3,0,1,1,15,% JOSHUA GROSSMAN,1000,0,MI,12,0,,3,1,2012,3,0
525 E MICHIGAN AVE BOX 219,SALINE,48176,1588,"525 E MICHIGAN AVE BOX 219, SALINE , MI, 48176",42.1463888,-83.7919444,WASHTENAW COUNTY CONSORTIUM ON AGING,2,454017245,0,201312,P20,0,0,3,0,1,1,16,% ADEMOLA OSOFISAN,1000,0,MI,12,0,,3,1,2014,2,0
9689 DUNDEE ST,DETROIT,48204,1761,"9689 DUNDEE ST, DETROIT , MI, 48204",42.368392,-83.1341597,RAINBOW OF FAITH HOPE & LOVE MINISTRIES INC,2,454063756,0,201312,P20,0,0,3,0,1,1,15,% EUNICE PUGH,1000,0,MI,12,0,,3,1,2012,3,0
PO BOX 574,FLUSHING,48433,574,"PO BOX 574, FLUSHING , MI, 48433",43.0630833,-83.8510732,THOMAS SMITH MEMORIAL FOUNDATION,2,454312198,0,201312,P20,0,0,3,0,1,1,15,% MARY SMITH,1000,0,MI,12,0,,3,1,2012,3,0
PO BOX 82530,ROCHESTER,48308,2530,"PO BOX 82530, ROCHESTER , MI, 48308",42.6827014,-83.1310574,BREAKLOOSE INTERNATIONAL INC,2,454357423,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2012,6,0
735 E HAZEL ST,LANSING,48912,1000,"735 E HAZEL ST, LANSING , MI, 48912",42.723715,-84.5419189,NEW WORLD FLOOD,2,454363079,0,201312,P20,0,0,3,0,1,1,15,% BILL MORRIS,1000,0,MI,12,0,,3,1,2013,3,0
1288 W GRAND RIVER AVE STE 400,WILLIAMSTON,48895,8305,"1288 W GRAND RIVER AVE STE 400, WILLIAMSTON , MI, 48895",42.688981,-84.305062,MANY HANDS INC,2,454444119,0,201312,P20,0,0,3,0,1,1,15,% GORSLINE,1000,0,MI,12,0,,3,1,2012,3,0
106 JOHNSON ST,DOWAGIAC,49047,1846,"106 JOHNSON ST, DOWAGIAC , MI, 49047",41.976535,-86.1171458,STEPPING STONE,2,454494459,0,201307,P20,0,0,3,0,5,1,15,,1000,0,MI,7,0,,3,1,2013,9,0
257 RAPID ST,PONTIAC,48341,2256,"257 RAPID ST, PONTIAC , MI, 48341",42.624919,-83.291832,THANKFUL HEART,2,454539921,0,201212,P20,0,0,3,0,1,1,15,% RUTH MONTAGUE,1000,0,MI,12,0,,3,1,2012,8,0
PO BOX 715,MUSKEGON,49443,715,"PO BOX 715, MUSKEGON , MI, 49443",43.23424,-86.17333,FLYIN HEROES,2,454616785,0,201312,P20,0,0,3,0,1,1,15,% ERIC A WENTZLOFF,1000,0,MI,12,0,,3,1,2013,4,0
6345 W MCNICHOLS RD,DETROIT,48221,2668,"6345 W MCNICHOLS RD, DETROIT , MI, 48221",42.4168924,-83.1416954,PROFESSIONALS GIVING BACK,2,454752911,0,201312,P20,0,0,3,0,1,1,15,% MARK SMITH,1000,0,MI,12,0,PGB,3,1,2012,6,0
606 W MCCONNELL ST,SAINT JOHNS,48879,1742,"606 W MCCONNELL ST, SAINT JOHNS , MI, 48879",42.9992271,-84.5653061,LOCAL SERVICE CALL CENTER INC,2,455121925,0,201312,P20,0,0,3,0,1,1,15,% HAROLD WILLARD SPINNER III,1000,0,MI,12,0,,3,1,2013,3,0
6686 S W BAYSHORE DR,TRAVERSE CITY,49684,9205,"6686 S W BAYSHORE DR, TRAVERSE CITY , MI, 49684",44.8823751,-85.6482959,SAWAQUAT CENTER FOR HUMAN DEVELOPMENT,2,455196214,0,201312,P20,0,0,3,0,1,1,16,% EVELYN A SAWAQUAT,1000,0,MI,12,0,SAWAQUAT CENTER,3,1,2012,9,0
PO BOX 931,LAKE CITY,49651,1931,"PO BOX 931, LAKE CITY , MI, 49651",44.3352872,-85.2150455,GFWC - LAKE CITY WOMANS CLUB,2,455261873,0,201312,P20,0,0,3,0,1,1,16,% SUSAN L NEES,1000,0,MI,12,0,,3,1,2013,2,0
PO BOX 1592,ADRIAN,49221,7592,"PO BOX 1592, ADRIAN , MI, 49221",41.8975471,-84.0371659,JASMYNNS VOICE INC,2,455503625,0,201312,P20,0,0,3,0,1,1,15,% MELISSA ARCHER,1000,0,MI,12,0,,3,1,2013,6,0
9546 OAKVIEW DR,PORTAGE,49024,6805,"9546 OAKVIEW DR, PORTAGE , MI, 49024",42.17838,-85.5950035,GODS SPECIAL PEOPLES CAMP,2,460530783,0,201312,P20,0,0,3,0,1,1,15,% SUSAN WRIGHT,1000,0,MI,12,0,,3,1,2012,11,0
2325 COLLINGWOOD AVE SW,WYOMING,49519,1641,"2325 COLLINGWOOD AVE SW, WYOMING , MI, 49519",42.922385,-85.721133,FLUFFY WISHES,2,460538890,0,201112,P20,0,0,3,0,1,1,15,% AMBER FEWLESS,1000,0,MI,12,0,,3,1,2012,9,0
500 WOODWARD AVE,DETROIT,48226,3416,"500 WOODWARD AVE, DETROIT , MI, 48226",42.3300717,-83.0449266,A HELPING HAND FOR KIDS INC,2,460618911,0,201212,P20,0,0,3,0,1,1,15,% RYAN BEWERSDORF,1000,0,MI,12,0,,3,1,2012,10,0
9429 MARSH RD,PLAINWELL,49080,9249,"9429 MARSH RD, PLAINWELL , MI, 49080",42.51726,-85.539894,FOLLOW THE BUFFALO INC,2,460624022,0,201312,P20,0,0,3,0,1,1,16,% JEFF BRAZDA,1000,0,MI,12,0,,3,1,2013,11,0
2948 PARKRIDGE DR,ANN ARBOR,48103,1737,"2948 PARKRIDGE DR, ANN ARBOR , MI, 48103",42.313217,-83.794184,PROJECT ODAKNIWA,1,460772373,0,201306,P20,0,0,3,0,1,1,15,% CAREY CULBERTSON,1000,0,MI,6,0,,3,1,2014,7,0
PO BOX 96,FAIRVIEW,48621,96,"PO BOX 96, FAIRVIEW , MI, 48621",44.725,-84.051111,LOVE INC OF OSCODA COUNTY,2,460800419,0,201312,P20,0,0,3,0,1,1,15,% JANICE SCHLEICHER,1000,0,MI,12,0,,3,1,2012,9,0
20123 WILLOWICK DR,SOUTHFIELD,48076,5079,"20123 WILLOWICK DR, SOUTHFIELD , MI, 48076",42.503395,-83.243171,FIRE VICTIMS UNITED,2,460850228,0,201312,P20,0,0,3,0,1,1,15,% ANTONIO HAYDEN,1000,0,MI,12,0,ESTATE SALE RESALE,3,1,2012,9,0
347 S MAIN ST,ROMEO,48065,5185,"347 S MAIN ST, ROMEO , MI, 48065",42.796305,-83.0133945,AGAPE CENTER,2,460854463,0,201406,P20,0,0,3,0,1,1,15,% PETER BERNADICH,1000,0,MI,6,0,,3,1,2013,3,0
4455 CHICAGO DR SW,GRANDVILLE,49418,1544,"4455 CHICAGO DR SW, GRANDVILLE , MI, 49418",42.906338,-85.774147,COLD WATER INTERNATIONAL INC,2,461653418,0,201312,P20,0,0,3,0,1,1,16,,1000,0,MI,12,0,,3,1,2013,11,0
18859 SAINT AUBIN ST,DETROIT,48234,1220,"18859 SAINT AUBIN ST, DETROIT , MI, 48234",42.431332,-83.081847,HANDZONALL INC,2,461881407,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2014,6,0
6761 LOCKMILL RD,TEMPERANCE,48182,2211,"6761 LOCKMILL RD, TEMPERANCE , MI, 48182",41.7400971,-83.5823378,LOVE GIVES,1,461983553,0,201312,P20,0,0,3,0,1,1,15,% CAROLINE DUNN,1000,0,MI,12,0,,3,1,2014,6,0
2000 TOWN CTR STE 1900,SOUTHFIELD,48075,1152,"2000 TOWN CTR STE 1900, SOUTHFIELD , MI, 48075",42.477578,-83.245247,SYRIAN AMERICAN ENGINEERS ASSOCIATION,2,462017831,0,201312,P20,0,0,3,0,1,1,15,% RAED ALKHANI,1000,0,MI,12,0,,3,1,2014,8,0
3639 SMITHVILLE RD,EATON RAPIDS,48827,8258,"3639 SMITHVILLE RD, EATON RAPIDS , MI, 48827",42.5146042,-84.6308783,FREEDOMS FINEST OUTDOORS,2,463308854,0,201312,P20,0,0,3,0,1,1,15,% JOE CRUZ III,1000,0,MI,12,0,,3,1,2013,12,0
9180 YORKSHIRE DR,SALINE,48176,9442,"9180 YORKSHIRE DR, SALINE , MI, 48176",42.151591,-83.740453,PET MI-SALINE,2,464041459,0,201312,P20,0,0,3,0,1,1,15,% CLARKE MACY,1000,0,MI,12,0,,3,1,2014,8,0
PO BOX 421,ROMEO,48065,421,"PO BOX 421, ROMEO , MI, 48065",42.8467589,-83.0361376,TOTE BAGS OF LOVE,2,464289461,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2014,8,0
18745 RIDGE RD,NORTHVILLE,48168,9298,"18745 RIDGE RD, NORTHVILLE , MI, 48168",42.419422,-83.533672,TAKING ACTION FOR FRIENDS FAMILIES AND YOUTH,2,510457646,0,201312,P20,0,0,3,0,1,1,15,% KATIE,1000,0,MI,12,0,,3,1,2003,7,0
7381 GERMANIA RD,UBLY,48475,8793,"7381 GERMANIA RD, UBLY , MI, 48475",43.6234832,-83.0171897,HURON COUNTY BABY PANTRY INC,2,562561198,0,201312,P20,0,0,3,0,1,1,15,% JUDY DOERR,1000,0,MI,12,0,,3,1,2007,3,0
2727 2ND AVE STE 131,DETROIT,48201,2660,"2727 2ND AVE STE 131, DETROIT , MI, 48201",42.3400465,-83.0615647,CENTER FOR CREATIVE ARTS INC,2,582598993,0,201212,P20,0,0,3,0,1,1,15,% WILLIE E BRAKE,1000,0,MI,12,0,,3,1,2001,9,0
855 PRINCE ST SE,GRAND RAPIDS,49507,1338,"855 PRINCE ST SE, GRAND RAPIDS , MI, 49507",42.94683,-85.6470609,HUMANLY DIVINE MINISTRIES INC,2,611422314,0,201112,P20,0,0,3,0,1,1,15,% YVETTE DEBOSE,1000,0,MI,12,0,,3,1,2005,2,0
1159 E FOSS AVE,FLINT,48505,2324,"1159 E FOSS AVE, FLINT , MI, 48505",43.0717833,-83.6822998,NORTH FLINT REINVESTMENT CORPORATION,1,611583065,0,201309,P20,0,0,3,0,1,1,15,% BLAKE STROZIER,1000,0,MI,9,0,,3,1,2014,8,0
425 COWLEY AVE,EAST LANSING,48823,3901,"425 COWLEY AVE, EAST LANSING , MI, 48823",42.737856,-84.499535,BELIZE ARCHEOLOGICAL RESEARCH AND EDUCATION FOUNDATION,2,611591979,0,201212,P20,0,0,3,0,1,1,15,% GABRIEL WROBEL,1000,0,MI,12,0,,3,1,2013,2,0
PO BOX 151122,GRAND RAPIDS,49515,1122,"PO BOX 151122, GRAND RAPIDS , MI, 49515",43.01,-85.63,KIDS ADVANCING HOPE COALITION,2,611636431,0,201312,P20,0,0,3,0,1,1,15,% CHARLES BAILEY,1000,0,MI,12,0,KIDS AGAINST HUNGER GRAND RAPIDS,9,1,2003,5,0
23310 SIBLEY RD,BROWNSTOWN,48193,8340,"23310 SIBLEY RD, BROWNSTOWN , MI, 48193",42.168534,-83.258368,THUNDERBIRD KART CLUB,2,611703033,0,201312,P20,0,0,3,0,1,1,16,% DAVID WILLIAMS,1000,0,MI,12,0,,3,1,2014,2,0
6001 N ADAMS RD STE 165,BLOOMFLD HLS,48304,1547,"6001 N ADAMS RD STE 165, BLOOMFLD HLS , MI, 48304",42.605669,-83.209433,EMPLOYABILITY INC,2,621852819,0,201306,P20,0,0,3,0,1,1,15,% KENNETH JOHNSON,1000,0,MI,6,0,,3,1,2001,10,0
16254 JAMES COUZENS FWY,DETROIT,48221,2852,"16254 JAMES COUZENS FWY, DETROIT , MI, 48221",42.4113731,-83.1663785,CCCF COMMUNITY DEVELOPMENT CORPORATION,2,731690701,0,201212,P20,0,0,3,0,1,1,15,% DANIEL CLARK,1000,0,MI,12,0,,3,1,2011,9,0
20883 REIMANVILLE AVE,FERNDALE,48220,2227,"20883 REIMANVILLE AVE, FERNDALE , MI, 48220",42.4481092,-83.155525,ZION COMMUNITY ENRICHMENT CENTER INC,2,743130349,0,201312,P20,0,0,3,0,1,1,15,% JAMES BUFORD,1000,0,MI,12,0,,3,1,2013,12,0
29193 NORTH WESTERN HWY SUITE 455,SOUTHFEILD,48034,1011,"29193 NORTH WESTERN HWY SUITE 455, SOUTHFEILD , MI, 48034",42.5009988,-83.3106146,PARTNERSHIP TO HOME OWNERSHIP,2,753152743,0,201312,P20,0,0,3,0,1,1,15,% MARY BLANDING,1000,0,MI,12,0,PTHO,3,1,2005,1,0
PO BOX 32694,DETROIT,48232,694,"PO BOX 32694, DETROIT , MI, 48232",42.29,-83.14,SISTERS OF CHRISTIAN LOVE,2,760837745,0,201312,P20,0,0,3,0,1,1,15,% JUDIE ANN RUGGIRELLO,1000,0,MI,12,0,,3,1,2008,9,0
702 RIVERS TERRACE RD,GLADWIN,48624,8059,"702 RIVERS TERRACE RD, GLADWIN , MI, 48624",43.9930882,-84.3556537,BIG BOYS OF GLADWIN COUNTY,2,770713086,0,201312,P20,0,0,3,0,1,1,15,% KATHIE HART,1000,0,MI,12,0,,3,1,2008,6,0
4468 GERTRUDE ST,DEARBORN HTS,48125,2824,"4468 GERTRUDE ST, DEARBORN HTS , MI, 48125",42.277646,-83.244126,MICHIGAN CLEFT NETWORK INC,2,800151508,0,201212,P20,0,0,3,0,1,1,15,% TERESA CROUGHEN,1000,0,MI,12,0,MICHIGAN CLEFT NETWORK,3,1,2009,8,0
1114 W HIGH ST,MT PLEASANT,48858,2242,"1114 W HIGH ST, MT PLEASANT , MI, 48858",43.5970849,-84.7886008,LOVE INC OF ISABELLA COUNTY,2,800290915,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2013,6,0
PO BOX 20101,KALAMAZOO,49019,1101,"PO BOX 20101, KALAMAZOO , MI, 49019",42.2937163,-85.648241,STEPS TO VICTORY INC,2,800324726,0,201212,P20,0,0,3,0,1,1,15,% ETHEL BERNICE CUNNINGHAM,1000,0,MI,12,0,,3,1,2009,10,0
18040 VAN DYKE ST,DETROIT,48234,3651,"18040 VAN DYKE ST, DETROIT , MI, 48234",42.427753,-83.02351,NORTHEASTERN FAMILY COMMUNITY CENTER INC,2,800411336,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2014,1,0
PO BOX 310241,FLINT,48531,241,"PO BOX 310241, FLINT , MI, 48531",43.0233714,-83.7276144,LIFE RESTORATION CENTER INC,2,800468216,0,201406,P20,0,0,3,0,1,1,15,% FREDERICK JONES,1000,0,MI,6,0,,3,1,2014,8,0
53660 APPLEWOOD DR,SHELBY TWP,48315,1343,"53660 APPLEWOOD DR, SHELBY TWP , MI, 48315",42.689621,-82.999459,SIDE BY SIDE FOUNDATION,2,800583879,0,201212,P20,0,0,3,0,1,1,15,% TERI DIMICHELE,1000,0,MI,12,0,,3,1,2012,4,0
PO BOX 16164,LANSING,48901,6164,"PO BOX 16164, LANSING , MI, 48901",42.7327,-84.5557199,DREAMS AND VISIONS MANIFESTED,2,800622719,0,201312,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2011,9,0
2620 W MICHIGAN AVE STE A,KALAMAZOO,49006,5548,"2620 W MICHIGAN AVE STE A, KALAMAZOO , MI, 49006",42.281802,-85.622227,FAMILY AND CHILDREN RESCUE INC,2,800686129,0,201112,P20,0,0,3,0,1,1,15,% HARRY W ALBRIGHT JR,1000,0,MI,12,0,,3,1,2011,4,0
1415 E 7 MILE RD,DETROIT,48203,2131,"1415 E 7 MILE RD, DETROIT , MI, 48203",42.4319401,-83.1183997,AUTHENTIC BOSSES,2,800701238,0,201312,P20,0,0,3,0,1,1,16,,1000,0,MI,12,0,,3,1,2013,5,0
19050 W MCNICHOLS RD,DETROIT,48219,4034,"19050 W MCNICHOLS RD, DETROIT , MI, 48219",42.415614,-83.22892,SONS OF ELEEMOSYNARY,2,800726443,0,201312,P20,0,0,3,0,1,1,15,% NEARYAH MALAK YISRAEL,1000,0,MI,12,0,,3,1,2011,8,0
6790 CASTLE DR,BLOOMFIELD,48301,2911,"6790 CASTLE DR, BLOOMFIELD , MI, 48301",42.5401,-83.308158,LEGION OF ST ANNE DU DETROIT FOUNDATION INC,2,800742431,0,201112,P20,0,0,3,0,1,1,15,% MARY LU BENNETHUM,1000,0,MI,12,0,,3,1,2012,3,0
947 BALDWIN DR,TROY,48098,5625,"947 BALDWIN DR, TROY , MI, 48098",42.606856,-83.168019,MUSLIM PHYSICIANS OF GREATER DETROIT,2,810568684,0,201312,P20,0,0,3,0,1,1,15,% MUSHTAQ SYED,1000,0,MI,12,0,,3,1,2003,10,0
PO BOX 394,OSCODA,48750,394,"PO BOX 394, OSCODA , MI, 48750",44.4202933,-83.3308009,FISH INC OSCODA,2,810633342,0,201312,P20,0,0,3,0,1,1,15,% JANE MEYER,1000,0,MI,12,0,,3,1,2008,2,0
18629 W MCNICHOLS RD,DETROIT,48219,4131,"18629 W MCNICHOLS RD, DETROIT , MI, 48219",42.415186,-83.2248737,COMPASSION MINISTRIES OUTREACH,2,830418754,0,201312,P20,0,0,3,0,1,1,15,% ALTA DAVIS,1000,0,MI,12,0,,3,1,2006,1,0
PO BOX 904,SUTTONS BAY,49682,904,"PO BOX 904, SUTTONS BAY , MI, 49682",44.9766663,-85.6506387,ZONTA CLUB OF LEELANAU COUNTY FOUNDATION,2,830425962,0,200905,P20,0,0,3,0,1,1,16,% KATHLEEN M WING,1000,0,MI,5,0,,3,1,2014,2,0
3375 MERRIAM ST STE 206,MUSKEGON,49444,3173,"3375 MERRIAM ST STE 206, MUSKEGON , MI, 49444",43.190942,-86.237128,EVERSHARP INC,2,830426421,0,201009,P20,0,0,3,0,1,1,15,% ROBERT WILSON,1000,0,MI,12,0,,3,1,2014,6,0
PO BOX 5,FARMINGTON,48332,5,"PO BOX 5, FARMINGTON , MI, 48332",42.46,-83.38,SOURCE OF UNIVERSAL LOVE,2,830427399,0,201312,P20,0,0,3,0,1,1,15,% GINGER WIECHERS,1000,0,MI,12,0,,3,1,2006,6,0
20840 DUNS SCOTUS ST,SOUTHFIELD,48075,3206,"20840 DUNS SCOTUS ST, SOUTHFIELD , MI, 48075",42.4610709,-83.2489389,WHAT DREAMS ARE MADE OF,2,830455071,0,201312,P20,0,0,3,0,1,1,15,% DEBBY THREATT,1000,0,MI,12,0,,3,1,2007,3,0
657 OAKDALE ST SE,GRAND RAPIDS,49507,1801,"657 OAKDALE ST SE, GRAND RAPIDS , MI, 49507",42.937575,-85.651618,CONQUERORS SUPPORT GROUP,2,900412997,0,201212,P20,0,0,3,0,1,1,15,% NONE,1000,0,MI,12,0,,3,1,2009,1,0
PO BOX 20101,KALAMAZOO,49019,1101,"PO BOX 20101, KALAMAZOO , MI, 49019",42.2937163,-85.648241,WALKING IN AUTHORITY MINISTRIES,2,900437377,0,201212,P20,0,0,3,0,1,1,15,% DANDREA CUNNINGHAM-BOLDEN,1000,0,MI,12,0,,3,1,2009,3,0
24231 GARNER ST,SOUTHFIELD,48033,7005,"24231 GARNER ST, SOUTHFIELD , MI, 48033",42.461799,-83.282755,FOUNDATION OF ENTIRE PERSON SERVICES,2,900448720,0,201312,P20,0,0,3,0,1,1,15,% VANESSA REASONOVER,1000,0,MI,12,0,,3,1,2013,2,0
805 ST CLAIR RIVER DRIVE,ALGONAC,48001,1555,"805 ST CLAIR RIVER DRIVE, ALGONAC , MI, 48001",42.616638,-82.533471,DOWNRIVER GOODFELLOWS INC,2,900628902,0,201312,P20,0,0,3,0,1,1,15,% JERRY DOAN,1000,0,MI,12,0,,3,1,2014,3,0
35741 BIBBINS ST,ROMULUS,48174,1426,"35741 BIBBINS ST, ROMULUS , MI, 48174",42.220198,-83.389925,COMEUNITY 1 STOP,2,900741471,0,201112,P20,0,0,3,0,1,1,15,% JASMINE J NOBLE,1000,0,MI,12,0,,3,1,2012,6,0
503 W GRAND RIVER AVE,LANSING,48906,4723,"503 W GRAND RIVER AVE, LANSING , MI, 48906",42.74718,-84.5586469,THE NEW CITIZENS PRESS COMMUNITY ACTION NETWORK,2,900803576,0,201312,P20,0,0,3,0,1,1,15,% RINA RISPER,1000,0,MI,12,0,,3,1,2014,2,0
4059 WOODLAND LN,SAINT JOSEPH,49085,9530,"4059 WOODLAND LN, SAINT JOSEPH , MI, 49085",42.044171,-86.490174,PENNIES FROM HEAVEN,2,900881218,0,201112,P20,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2012,10,0
C/O 2150 FRANKLIN ROAD,BLOOMFIELD HILLS,48302,0,"C/O 2150 FRANKLIN ROAD, BLOOMFIELD HILLS , MI, 48302",42.606966,-83.288212,LANCE M ATISHA MEMORIAL FUND,2,383444122,4,201312,P20,0,961,3,0,1,1,15,%,1000,961,MI,12,316165,,3,1,1999,4,1
12541 2ND AVE STE 2,HIGHLAND PARK,48203,3259,"12541 2ND AVE STE 2, HIGHLAND PARK , MI, 48203",42.3972241,-83.0959826,OPERATION WEED AND SEED OF HIGHLAND PARK,2,43706888,3,201112,P20,0,1211,3,0,1,1,15,% JEROME DRAIN,1000,1211,MI,12,33732,,3,1,2003,3,1
25561 BRIARWYKE DR,FARMINGTN HLS,48336,1656,"25561 BRIARWYKE DR, FARMINGTN HLS , MI, 48336",42.483091,-83.324468,EDO NORTH-CENTRAL ASSOCIATION OF MICHIGAN,2,300221205,1,201212,P20,0,1230,3,0,1,1,16,% DENNIS OJEMUDIA,1000,1230,MI,12,1784,,3,1,2005,6,1
2600 WILLS ST,MARYSVILLE,48040,1926,"2600 WILLS ST, MARYSVILLE , MI, 48040",42.880864,-82.486144,U S B P WELFARE & RECREATION FUND,2,263207832,1,201212,P20,0,1681,3,0,1,1,16,,1000,7634,MI,6,1,,3,1,2014,2,1
2380 NORTHFIELD ST,TRENTON,48183,2423,"2380 NORTHFIELD ST, TRENTON , MI, 48183",42.146178,-83.205245,FAITHFUL EXPRESSIONS INCORPORATION,2,452407877,1,201406,P20,0,1963,3,0,1,1,16,% FAITH RITCHIE,1000,1963,MI,6,1330,,3,1,2012,6,1
PO BOX 39208,REDFORD,48239,208,"PO BOX 39208, REDFORD , MI, 48239",42.3792122,-83.2880591,MILITARY MOMS UNITED,2,352404033,1,201312,P20,0,2373,3,0,1,1,15,% EVONA LAPERE,1000,2782,MI,12,1448,,3,1,2011,9,1
